basDt,srtnCd,fndNm,ctg,setpDt,fndTp,prdClsfCd,asoStdCd
20260511,DE774,삼성 글로벌 EMP 적격TDF 2045 증권자투자신탁[주식혼합-재간접형]_Ce,자산운용,20210317,재간접,161236120010211ZZZZC,K55105DE7745
20260511,DE767,삼성 글로벌 EMP 적격TDF 2040 증권자투자신탁[주식혼합-재간접형]_Ae,자산운용,20210218,재간접,161236120010211ZZZZC,K55105DE7679
20260511,C4993,우리지속가능ESG증권자투자신탁1호(주식)ClassC-P1e,자산운용,20210115,주식형,12113A12336011111112,K55107C49930
20260511,DE759,삼성 글로벌 EMP 적격TDF 2055 증권자투자신탁[주식혼합-재간접형]_Ae,자산운용,20210315,재간접,161236120810211ZZZZC,K55105DE7596
20260511,DG662,우리단기플러스증권투자신탁(채권)[운용],자산운용,20210324,채권형,111111120010131ZZZZ5,K55107DG6628
20260511,DG664,우리단기플러스증권투자신탁(채권)ClassC-V,자산운용,20210324,채권형,11111Y120010131ZZZZ5,K55107DG6644
20260511,DG665,우리단기플러스증권투자신탁(채권)ClassC-F,자산운용,20210324,채권형,111117120010131ZZZZ5,K55107DG6651
20260511,DE761,삼성 글로벌 EMP 적격TDF 2055 증권자투자신탁[주식혼합-재간접형]_Ce,자산운용,20210906,재간접,161236120810211ZZZZC,K55105DE7612
20260511,DN032,HDC날아라공모주알파증권투자신탁(채권혼합)종류A-E,자산운용,20210913,혼합채권형,141116123250126ZZZZ5,K55226DN0321
20260511,CK810,미래에셋AI글로벌모멘텀혼합자산자투자신탁(재간접형) 종류C-P,자산운용,20210308,혼합자산,19123A1203602ZZZZZZD,K55301CK8102
20260511,DF186,삼성에너지트랜지션증권자투자신탁H[주식-재간접형]_Cpe(퇴직연금),자산운용,20210203,재간접,16123612060021111ZZA,K55105DF1861
20260511,D5877,BNK삼성전자중소형증권투자신탁1호(주식) Class C-P2e,자산운용,20201211,주식형,12111A12060011111262,K55240D58771
20260511,DE771,삼성 글로벌 EMP 적격TDF 2045 증권자투자신탁[주식혼합-재간접형]_Ae,자산운용,20210215,재간접,161236120010211ZZZZC,K55105DE7711
20260511,74872,신한좋은아침희망증권자투자신탁제1호[주식](종류C1),자산운용,20031231,주식형,12113412001011312112,KR5219748724
20260511,AP507,미래에셋스마트롱숏30증권자투자신탁1호(채권혼합)종류A-e,자산운용,20140312,혼합채권형,141136120010121ZZ265,KR5301AP5073
20260511,AP748,한국밸류10년투자증권투자신탁1호(채권혼합)종류S,자산운용,20140422,혼합채권형,14111D12001012211ZZ4,KR5236AP7483
20260511,93325,브이아이 혁신기업투자 증권 투자신탁 1호[주식] C-F,자산운용,20090817,주식형,12111412301011111ZZ4,KR5104933258
20260511,72316,다올코리아AI테크중소형증권자투자신탁제2호[주식] 종류C,자산운용,20070806,주식형,12113312318011111111,KR5306723168
20260511,E2633,한화 헤라클레스 선진국 액티브 증권 모투자신탁(주식),자산운용,20230508,주식형,12122Z12001021111ZZ2,K55213E26336
20260511,E2634,한화 헤라클레스 선진국 액티브 증권 자투자신탁(UH)(주식),자산운용,20230508,주식형,12123112001021111ZZ2,K55213E26344
20260511,E2643,한화 헤라클레스 선진국 액티브 증권 자투자신탁(UH)(주식) C-f,자산운용,20230508,주식형,12123712001021111ZZ2,K55213E26435
20260511,E2642,한화 헤라클레스 선진국 액티브 증권 자투자신탁(UH)(주식) C-e,자산운용,20230508,주식형,12123612001021111ZZ2,K55213E26427
20260511,E2655,한화 헤라클레스 선진국 액티브 증권 자투자신탁(UH)(주식) J-e,자산운용,20230915,주식형,12123C12001021111ZZ2,K55213E26559
20260511,E2647,한화 헤라클레스 선진국 액티브 증권 자투자신탁(UH)(주식) C-Pe(연금저축),자산운용,20230511,주식형,12123612036021111ZZ2,K55213E26476
20260511,E1530,NH-Amundi UBP 글로벌리더스30 증권자투자신탁(H)[주식-재간접형] Class A,자산운용,20230511,재간접,1612321200102111121C,K55232E15305
20260511,E2639,한화 헤라클레스 선진국 액티브 증권 자투자신탁(UH)(주식) A,자산운용,20230517,주식형,12123212001021111ZZ2,K55213E26393
20260511,E2640,한화 헤라클레스 선진국 액티브 증권 자투자신탁(UH)(주식) A-e,자산운용,20230517,주식형,12123612001021111ZZ2,K55213E26401
20260511,E2641,한화 헤라클레스 선진국 액티브 증권 자투자신탁(UH)(주식) C,자산운용,20230517,주식형,12123412001021111ZZ2,K55213E26419
20260511,E2646,한화 헤라클레스 선진국 액티브 증권 자투자신탁(UH)(주식) C-P(연금저축),자산운용,20230517,주식형,12123412036021111ZZ2,K55213E26468
20260511,E2648,한화 헤라클레스 선진국 액티브 증권 자투자신탁(UH)(주식) C-RP(퇴직연금),자산운용,20230517,주식형,12123A12060021111ZZ2,K55213E26484
20260511,E2649,한화 헤라클레스 선진국 액티브 증권 자투자신탁(UH)(주식) C-RPe(퇴직연금),자산운용,20230517,주식형,12123A12060021111ZZ2,K55213E26492
20260511,E2656,한화 헤라클레스 선진국 액티브 증권 자투자신탁(UH)(주식) J-Pe(연금저축),자산운용,20230915,주식형,12123C12036021111ZZ2,K55213E26567
20260511,87487,하나코리아증권자투자신탁[주식]ClassC-E,자산운용,20080901,주식형,12113612365011111112,KR5312874872
20260511,E1536,NH-Amundi UBP 글로벌리더스30 증권자투자신탁(H)[주식-재간접형] Class Cf,자산운용,20231019,재간접,1612371200102111121C,K55232E15362
20260511,DW125,미래에셋밸런스TRF안정형증권자투자신탁(채권혼합) 종류C-P2e,자산운용,20220824,혼합채권형,141336120600221ZZZZ4,K55301DW1250
